"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2019","2,847.1","2,911.1","2,927.0","2,835.0","","-2.59%"
"08/22/2019","2,922.9","2,930.9","2,939.1","2,904.5","","-0.05%"
"08/21/2019","2,924.4","2,922.0","2,928.7","2,917.9","","0.82%"
"08/20/2019","2,900.5","2,919.0","2,923.6","2,899.6","","-0.79%"
"08/19/2019","2,923.6","2,913.5","2,931.0","2,913.5","","1.21%"
"08/16/2019","2,888.7","2,864.7","2,893.6","2,864.7","","1.44%"
"08/15/2019","2,847.6","2,846.2","2,856.7","2,825.5","","0.25%"
"08/14/2019","2,840.6","2,894.1","2,894.1","2,839.6","","-2.93%"
"08/13/2019","2,926.3","2,880.7","2,943.3","2,877.1","","1.48%"
"08/12/2019","2,883.8","2,907.1","2,907.6","2,873.1","","-1.20%"
"08/09/2019","2,918.6","2,930.5","2,935.8","2,900.1","","-0.66%"
"08/08/2019","2,938.1","2,896.2","2,938.7","2,894.5","","1.88%"
"08/07/2019","2,884.0","2,858.6","2,892.2","2,825.7","","0.08%"
"08/06/2019","2,881.8","2,861.2","2,884.4","2,847.4","","1.30%"
"08/05/2019","2,844.7","2,898.1","2,898.1","2,822.1","","-2.98%"
"08/02/2019","2,932.1","2,943.9","2,945.5","2,914.1","","-0.73%"
"08/01/2019","2,953.6","2,980.3","3,013.6","2,945.2","","-0.90%"
"07/31/2019","2,980.4","3,016.2","3,017.4","2,958.1","","-1.09%"
"07/30/2019","3,013.2","3,007.7","3,017.2","3,000.9","","-0.26%"
"07/29/2019","3,021.0","3,024.5","3,025.6","3,014.3","","-0.16%"
"07/26/2019","3,025.9","3,013.3","3,028.0","3,012.6","","0.74%"
"07/25/2019","3,003.7","3,016.3","3,016.3","2,997.2","","-0.53%"
"07/24/2019","3,019.6","2,998.8","3,019.6","2,996.8","","0.47%"
"07/23/2019","3,005.5","2,994.7","3,005.9","2,988.6","","0.68%"
"07/22/2019","2,985.0","2,981.9","2,990.7","2,976.6","","0.28%"
"07/19/2019","2,976.6","3,004.3","3,006.0","2,975.9","","-0.62%"
"07/18/2019","2,995.1","2,978.9","2,998.3","2,973.1","","0.36%"
"07/17/2019","2,984.4","3,005.1","3,005.3","2,984.3","","-0.65%"
"07/16/2019","3,004.0","3,012.1","3,015.0","3,001.1","","-0.34%"
"07/15/2019","3,014.3","3,017.8","3,017.8","3,008.8","","0.02%"
"07/12/2019","3,013.8","3,003.4","3,013.9","3,001.9","","0.46%"
"07/11/2019","2,999.9","2,999.6","3,002.3","2,988.8","","0.23%"
"07/10/2019","2,993.1","2,989.3","3,003.0","2,984.6","","0.45%"
"07/09/2019","2,979.6","2,965.5","2,981.9","2,963.4","","0.12%"
"07/08/2019","2,975.9","2,979.8","2,980.8","2,970.1","","-0.48%"
"07/05/2019","2,990.4","2,984.3","2,994.0","2,968.0","","-0.41%"
"07/04/2019","3,002.6","2,999.4","3,003.6","2,997.4","","0.23%"
"07/03/2019","2,995.8","2,978.1","2,995.8","2,978.0","","0.77%"
"07/02/2019","2,973.0","2,964.7","2,973.2","2,955.9","","0.29%"
"07/01/2019","2,964.3","2,971.4","2,977.9","2,952.2","","0.77%"
"06/28/2019","2,941.8","2,932.9","2,944.0","2,929.1","","0.58%"
"06/27/2019","2,924.9","2,919.7","2,929.3","2,918.6","","0.38%"
"06/26/2019","2,913.8","2,926.1","2,932.6","2,913.0","","-0.12%"
"06/25/2019","2,917.4","2,945.8","2,946.5","2,916.0","","-0.95%"
"06/24/2019","2,945.4","2,951.4","2,954.9","2,944.1","","-0.17%"
"06/21/2019","2,950.5","2,952.7","2,964.1","2,946.9","","-0.13%"
"06/20/2019","2,954.2","2,949.6","2,958.1","2,931.5","","0.95%"
"06/19/2019","2,926.5","2,920.6","2,931.7","2,911.4","","0.30%"
"06/18/2019","2,917.8","2,906.7","2,930.8","2,905.4","","0.97%"
"06/17/2019","2,889.7","2,889.8","2,897.3","2,887.3","","0.09%"
"06/14/2019","2,887.0","2,886.8","2,894.4","2,879.6","","-0.16%"
"06/13/2019","2,891.6","2,886.2","2,895.2","2,882.0","","0.41%"
"06/12/2019","2,879.8","2,882.7","2,888.6","2,874.7","","-0.20%"
"06/11/2019","2,885.7","2,903.3","2,910.6","2,878.5","","-0.03%"
"06/10/2019","2,886.7","2,885.8","2,904.8","2,885.5","","0.47%"
"06/07/2019","2,873.3","2,852.9","2,885.0","2,852.9","","1.05%"
"06/06/2019","2,843.5","2,828.5","2,852.1","2,822.4","","0.61%"
"06/05/2019","2,826.1","2,818.1","2,827.3","2,800.9","","0.82%"
"06/04/2019","2,803.3","2,762.6","2,804.5","2,762.6","","2.14%"
"06/03/2019","2,744.4","2,751.5","2,763.1","2,728.8","","-0.28%"
"05/31/2019","2,752.1","2,766.1","2,769.0","2,750.5","","-1.32%"
"05/30/2019","2,788.9","2,786.9","2,799.0","2,776.7","","0.21%"
"05/29/2019","2,783.0","2,790.3","2,792.0","2,766.1","","-0.69%"
"05/28/2019","2,802.4","2,830.0","2,840.5","2,801.6","","-1.09%"
"05/27/2019","2,833.3","2,829.9","2,838.4","2,826.6","","0.09%"
"05/26/2019","2,830.6","2,830.9","2,834.9","2,829.4","","0.16%"
"05/24/2019","2,826.1","2,832.4","2,841.4","2,820.2","","0.14%"
"05/23/2019","2,822.2","2,836.7","2,836.7","2,805.5","","-1.19%"
"05/22/2019","2,856.3","2,856.1","2,865.5","2,851.1","","-0.28%"
"05/21/2019","2,864.4","2,854.0","2,868.9","2,854.0","","0.85%"
"05/20/2019","2,840.2","2,841.9","2,853.9","2,831.3","","-0.67%"
"05/17/2019","2,859.5","2,858.6","2,885.5","2,854.2","","-0.58%"
"05/16/2019","2,876.3","2,855.8","2,892.1","2,855.8","","0.89%"
"05/15/2019","2,851.0","2,820.4","2,858.7","2,815.1","","0.58%"
"05/14/2019","2,834.4","2,820.1","2,852.5","2,820.1","","0.80%"
"05/13/2019","2,811.9","2,840.2","2,840.2","2,801.4","","-2.41%"
"05/10/2019","2,881.4","2,863.1","2,891.3","2,825.4","","0.37%"
"05/09/2019","2,870.7","2,859.8","2,876.0","2,836.4","","-0.30%"
"05/08/2019","2,879.4","2,879.6","2,898.0","2,873.3","","-0.16%"
"05/07/2019","2,884.1","2,913.0","2,913.0","2,862.6","","-1.65%"
"05/06/2019","2,932.5","2,908.9","2,937.3","2,898.2","","-0.45%"
"05/03/2019","2,945.6","2,929.2","2,947.9","2,929.2","","0.96%"
"05/02/2019","2,917.5","2,922.2","2,931.7","2,900.5","","-0.21%"
"05/01/2019","2,923.7","2,952.3","2,954.1","2,923.4","","-0.75%"
"04/30/2019","2,945.8","2,937.1","2,948.2","2,924.1","","0.10%"
"04/29/2019","2,943.0","2,940.6","2,949.5","2,939.4","","0.11%"
"04/26/2019","2,939.9","2,925.8","2,939.9","2,917.6","","0.47%"
"04/25/2019","2,926.2","2,929.0","2,933.1","2,912.8","","-0.04%"
"04/24/2019","2,927.3","2,934.0","2,936.8","2,926.1","","-0.22%"
"04/23/2019","2,933.7","2,910.0","2,936.3","2,908.5","","0.88%"
"04/22/2019","2,908.0","2,898.8","2,909.5","2,896.4","","-0.09%"
"04/19/2019","2,910.5","2,910.5","2,910.5","2,910.5","","0.19%"
"04/18/2019","2,905.0","2,904.8","2,908.4","2,891.9","","0.16%"
"04/17/2019","2,900.4","2,916.0","2,918.0","2,895.4","","-0.23%"
"04/16/2019","2,907.1","2,912.3","2,916.1","2,900.7","","0.05%"
"04/15/2019","2,905.6","2,908.3","2,909.6","2,896.5","","-0.06%"
"04/12/2019","2,907.4","2,900.9","2,910.5","2,898.4","","0.66%"
"04/11/2019","2,888.3","2,891.9","2,893.4","2,882.0","","0.00%"
"04/10/2019","2,888.2","2,881.4","2,889.7","2,879.1","","0.35%"
"04/09/2019","2,878.2","2,886.6","2,886.9","2,873.3","","-0.61%"
"04/08/2019","2,895.8","2,888.5","2,895.9","2,880.8","","0.10%"
"04/05/2019","2,892.7","2,884.2","2,893.2","2,883.0","","0.46%"
"04/04/2019","2,879.4","2,874.0","2,881.3","2,867.1","","0.21%"
"04/03/2019","2,873.4","2,876.1","2,885.3","2,865.2","","0.21%"
"04/02/2019","2,867.2","2,868.2","2,872.9","2,858.8","","0.00%"
"04/01/2019","2,867.2","2,848.6","2,869.4","2,848.6","","1.16%"
"03/29/2019","2,834.4","2,828.3","2,836.0","2,819.2","","0.67%"
"03/28/2019","2,815.4","2,809.4","2,819.7","2,798.8","","0.36%"
"03/27/2019","2,805.4","2,819.7","2,825.6","2,787.7","","-0.46%"
"03/26/2019","2,818.5","2,812.7","2,829.9","2,804.0","","0.72%"
"03/25/2019","2,798.4","2,796.0","2,809.8","2,785.0","","-0.08%"
"03/22/2019","2,800.7","2,844.5","2,846.2","2,800.5","","-1.90%"
"03/21/2019","2,854.9","2,819.7","2,860.3","2,817.4","","1.09%"
"03/20/2019","2,824.2","2,831.3","2,843.5","2,812.4","","-0.29%"
"03/19/2019","2,832.6","2,840.8","2,852.4","2,823.3","","-0.01%"
"03/18/2019","2,832.9","2,822.6","2,835.4","2,822.0","","0.37%"
"03/15/2019","2,822.5","2,810.8","2,830.7","2,810.8","","0.50%"
"03/14/2019","2,808.5","2,810.4","2,815.0","2,803.5","","-0.09%"
"03/13/2019","2,810.9","2,799.8","2,821.2","2,799.8","","0.69%"
"03/12/2019","2,791.5","2,787.3","2,798.3","2,786.7","","0.30%"
"03/11/2019","2,783.3","2,747.6","2,784.0","2,747.6","","1.47%"
"03/08/2019","2,743.1","2,730.8","2,744.1","2,722.3","","-0.21%"
"03/07/2019","2,748.9","2,766.5","2,767.3","2,739.1","","-0.81%"
"03/06/2019","2,771.4","2,790.3","2,790.3","2,768.7","","-0.65%"
"03/05/2019","2,789.6","2,794.4","2,796.4","2,783.0","","-0.11%"
"03/04/2019","2,792.8","2,814.4","2,816.9","2,767.7","","-0.39%"
"03/01/2019","2,803.7","2,798.2","2,808.0","2,787.4","","0.69%"
"02/28/2019","2,784.5","2,788.1","2,793.7","2,782.5","","-0.28%"
"02/27/2019","2,792.4","2,787.5","2,795.8","2,775.1","","-0.05%"
"02/26/2019","2,793.9","2,792.4","2,803.1","2,789.5","","-0.08%"
"02/25/2019","2,796.1","2,804.4","2,813.5","2,795.0","","0.12%"
"02/22/2019","2,792.7","2,780.7","2,794.2","2,779.1","","0.64%"
"02/21/2019","2,774.9","2,780.2","2,781.6","2,764.6","","-0.35%"
"02/20/2019","2,784.7","2,779.1","2,789.9","2,774.1","","0.18%"
"02/19/2019","2,779.8","2,769.3","2,787.3","2,767.3","","0.14%"
"02/18/2019","2,775.9","2,778.1","2,780.1","2,773.4","","-0.10%"
"02/17/2019","2,778.6","2,777.3","2,781.4","2,775.3","","0.11%"
